date,price_soybean,real_interest_rate,SP500,usa_prod,previous_price_soybean,previous_usa_production,previous_SP500,previous_real_interest_rate,price_soybean_avg_3_months,price_soybean_avg_6_months,price_soybean_avg_12_months,3mprevious_price_soybean,3mprevious_SP500,3mprevious_real_interest_rate,6mprevious_price_soybean,6mprevious_SP500,6mprevious_real_interest_rate,month,year,month_sin,month_cos,year_sin,year_cos
1991-10-01,567.0,0.7517381082914408,0.0,0.15007244094488192,587.0,54.065,326.2,3.8785,581.5,577.25,578.8958333333334,600.5,326.2,4.10983,589.5,326.2,4.10983,10,1991,-0.8660254037844386,0.5000000000000001,-0.09618083348264611,0.9953638768162041
1991-11-01,557.0,0.7382086473326704,0.0,0.15007244094488192,567.0,54.065,326.2,3.63786,570.3333333333334,573.125,576.1875,590.5,326.2,4.04992,581.75,326.2,4.04992,11,1991,-0.5000000000000004,0.8660254037844384,-0.09618083348264611,0.9953638768162041
1991-12-02,557.0,0.709452967467965,0.0,0.15007244094488192,557.0,54.065,326.2,3.56506,560.3333333333334,576.5,574.7083333333334,587.0,326.2,4.18764,536.75,326.2,4.18764,12,1991,-2.4492935982947064e-16,1.0,-0.09618083348264611,0.9953638768162041
1992-01-01,572.0,0.6700930150440915,0.0,0.2199559055118111,557.0,54.065,326.2,3.41033,562.0,571.75,575.1458333333334,567.0,326.2,4.22225,600.5,326.2,4.22225,1,1992,0.49999999999999994,0.8660254037844387,-0.09308736930908149,0.995657944112894
1992-02-03,589.25,0.7499595788769431,0.0,0.2199559055118111,572.0,54.065,326.2,3.19854,572.75,571.5416666666666,575.25,557.0,326.2,4.13992,590.5,326.2,4.13992,2,1992,0.8660254037844386,0.5000000000000001,-0.09308736930908149,0.995657944112894
1992-03-02,588.25,0.755901019355678,0.0,0.2199559055118111,589.25,54.065,326.2,3.62829,583.1666666666666,571.75,576.375,557.0,326.2,3.8785,587.0,326.2,3.8785,3,1992,1.0,6.123233995736766e-17,-0.09308736930908149,0.995657944112894
1992-04-01,580.25,0.7799864333701924,0.0,0.2199559055118111,588.25,54.065,326.2,3.66026,585.9166666666666,573.9583333333334,575.6041666666666,572.0,326.2,3.63786,567.0,326.2,3.63786,4,1992,0.8660254037844387,-0.4999999999999998,-0.09308736930908149,0.995657944112894
1992-05-01,614.0,0.7718668983524908,0.0,0.2199559055118111,580.25,54.065,326.2,3.78986,594.1666666666666,583.4583333333334,578.2916666666666,589.25,326.2,3.56506,557.0,326.2,3.56506,5,1992,0.49999999999999994,-0.8660254037844387,-0.09308736930908149,0.995657944112894
1992-06-01,618.75,0.7388628190713362,0.0,0.2199559055118111,614.0,54.065,326.2,3.74617,604.3333333333334,593.75,585.125,588.25,326.2,3.41033,557.0,326.2,3.41033,6,1992,1.2246467991473532e-16,-1.0,-0.09308736930908149,0.995657944112894
1992-07-01,552.0,0.6988171013873272,0.0,0.2199559055118111,618.75,59.612,326.2,3.56858,594.9166666666666,590.4166666666666,581.0833333333334,580.25,326.2,3.19854,572.0,326.2,3.19854,7,1992,-0.4999999999999997,-0.8660254037844388,-0.09308736930908149,0.995657944112894
1992-08-03,541.0,0.6563925773808971,0.0,0.2199559055118111,552.0,59.612,326.2,3.3531,570.5833333333334,582.375,576.9583333333334,614.0,326.2,3.62829,589.25,326.2,3.62829,8,1992,-0.8660254037844384,-0.5000000000000004,-0.09308736930908149,0.995657944112894
1992-09-01,540.75,0.6252673834059674,0.0,0.2199559055118111,541.0,59.612,326.2,3.12482,544.5833333333334,574.4583333333334,573.1041666666666,618.75,326.2,3.66026,588.25,326.2,3.66026,9,1992,-1.0,-1.8369701987210297e-16,-0.09308736930908149,0.995657944112894
1992-10-01,552.75,0.5826532982707193,0.0,0.2199559055118111,540.75,59.612,326.2,2.95734,544.8333333333334,569.875,571.9166666666666,552.0,326.2,3.78986,580.25,326.2,3.78986,10,1992,-0.8660254037844386,0.5000000000000001,-0.09308736930908149,0.995657944112894
1992-11-02,563.75,0.6935261157623795,0.0,0.2199559055118111,552.75,59.612,326.2,2.72804,552.4166666666666,561.5,572.4791666666666,541.0,326.2,3.74617,614.0,326.2,3.74617,11,1992,-0.5000000000000004,0.8660254037844384,-0.09308736930908149,0.995657944112894
1992-12-01,574.25,0.7279184515457594,0.0,0.2199559055118111,563.75,59.612,326.2,3.32463,563.5833333333334,554.0833333333334,573.9166666666666,540.75,326.2,3.56858,618.75,326.2,3.56858,12,1992,-2.4492935982947064e-16,1.0,-0.09308736930908149,0.995657944112894
1993-01-01,574.0,0.6829850302461506,0.0,0.11000944881889763,574.25,59.612,326.2,3.50969,570.6666666666666,557.75,574.0833333333334,552.75,326.2,3.3531,552.0,326.2,3.3531,1,1993,0.49999999999999994,0.8660254037844387,-0.08999300628423551,0.9959423973402908
1993-02-01,580.0,0.6340856927808802,0.0,0.11000944881889763,574.0,59.612,326.2,3.26791,576.0833333333334,564.25,573.3125,563.75,326.2,3.12482,541.0,326.2,3.12482,2,1993,0.8660254037844386,0.5000000000000001,-0.08999300628423551,0.9959423973402908
1993-03-01,588.25,0.5725024856667627,0.0,0.11000944881889763,580.0,59.612,326.2,3.00479,580.75,572.1666666666666,573.3125,574.25,326.2,2.95734,540.75,326.2,2.95734,3,1993,1.0,6.123233995736766e-17,-0.08999300628423551,0.9959423973402908
1993-04-01,591.25,0.5912913387290112,0.0,0.11000944881889763,588.25,59.612,326.2,2.67342,586.5,578.5833333333334,574.2291666666666,574.0,326.2,2.72804,552.75,326.2,2.72804,4,1993,0.8660254037844387,-0.4999999999999998,-0.08999300628423551,0.9959423973402908
1993-05-03,608.5,0.570885640744492,0.0,0.11000944881889763,591.25,59.612,326.2,2.77452,596.0,586.0416666666666,573.7708333333334,580.0,326.2,3.32463,563.75,326.2,3.32463,5,1993,0.49999999999999994,-0.8660254037844387,-0.08999300628423551,0.9959423973402908
1993-06-01,658.5,0.5888233271694991,0.0,0.11000944881889763,608.5,59.612,326.2,2.66472,619.4166666666666,600.0833333333334,577.0833333333334,588.25,326.2,3.50969,574.25,326.2,3.50969,6,1993,1.2246467991473532e-16,-1.0,-0.08999300628423551,0.9959423973402908
1993-07-01,688.0,0.5573338784764489,0.0,0.11000944881889763,658.5,50.885,326.2,2.76124,651.6666666666666,619.0833333333334,588.4166666666666,591.25,326.2,3.26791,574.0,326.2,3.26791,7,1993,-0.4999999999999997,-0.8660254037844388,-0.08999300628423551,0.9959423973402908
1993-08-02,663.5,0.5779811739780889,0.0,0.11000944881889763,688.0,50.885,326.2,2.5918,670.0,633.0,598.625,608.5,326.2,3.00479,580.0,326.2,3.00479,8,1993,-0.8660254037844384,-0.5000000000000004,-0.08999300628423551,0.9959423973402908
1993-09-01,629.75,0.5310889543473614,0.0,0.11000944881889763,663.5,50.885,326.2,2.7029,660.4166666666666,639.9166666666666,606.0416666666666,658.5,326.2,2.67342,588.25,326.2,2.67342,9,1993,-1.0,-1.8369701987210297e-16,-0.08999300628423551,0.9959423973402908
1993-10-01,629.5,0.5214733731659495,0.0,0.11000944881889763,629.75,50.885,326.2,2.45058,640.9166666666666,646.2916666666666,612.4375,688.0,326.2,2.77452,591.25,326.2,2.77452,10,1993,-0.8660254037844386,0.5000000000000001,-0.08999300628423551,0.9959423973402908
1993-11-01,671.5,0.5518514732802438,0.0,0.11000944881889763,629.5,50.885,326.2,2.39884,643.5833333333334,656.7916666666666,621.4166666666666,663.5,326.2,2.66472,608.5,326.2,2.66472,11,1993,-0.5000000000000004,0.8660254037844384,-0.08999300628423551,0.9959423973402908
1993-12-01,712.5,0.5811814118587212,0.0,0.11000944881889763,671.5,50.885,326.2,2.5623,671.1666666666666,665.7916666666666,632.9375,629.75,326.2,2.76124,658.5,326.2,2.76124,12,1993,-2.4492935982947064e-16,1.0,-0.08999300628423551,0.9959423973402908
1994-01-03,686.75,0.5909493853201631,0.0,0.33122519685039375,712.5,50.885,326.2,2.72012,690.25,665.5833333333334,642.3333333333334,629.5,326.2,2.5918,688.0,326.2,2.5918,1,1994,0.49999999999999994,0.8660254037844387,-0.08689777428726482,0.9962172337517152
1994-02-01,683.75,0.5626062796770026,0.0,0.33122519685039375,686.75,50.885,326.2,2.77268,694.3333333333334,668.9583333333334,650.9791666666666,671.5,326.2,2.7029,663.5,326.2,2.7029,2,1994,0.8660254037844386,0.5000000000000001,-0.08689777428726482,0.9962172337517152
1994-03-01,681.75,0.6278431846269641,0.0,0.33122519685039375,683.75,50.885,326.2,2.62017,684.0833333333334,677.625,658.7708333333334,712.5,326.2,2.45058,629.75,326.2,2.45058,3,1994,1.0,6.123233995736766e-17,-0.08689777428726482,0.9962172337517152
1994-04-01,676.5,0.7557003075722237,0.0,0.33122519685039375,681.75,50.885,326.2,2.9712,680.6666666666666,685.4583333333334,665.875,686.75,326.2,2.39884,629.5,326.2,2.39884,4,1994,0.8660254037844387,-0.4999999999999998,-0.08689777428726482,0.9962172337517152
1994-05-02,701.0,0.7492700967319289,0.0,0.33122519685039375,676.5,50.885,326.2,3.65918,686.4166666666666,690.375,673.5833333333334,683.75,326.2,2.5623,671.5,326.2,2.5623,5,1994,0.49999999999999994,-0.8660254037844387,-0.08689777428726482,0.9962172337517152
1994-06-01,628.75,0.7435070667273758,0.0,0.33122519685039375,701.0,50.885,326.2,3.62458,668.75,676.4166666666666,671.1041666666666,681.75,326.2,2.72012,712.5,326.2,2.72012,6,1994,1.2246467991473532e-16,-1.0,-0.08689777428726482,0.9962172337517152
